Features: ['Pay'], Test Accuracy: 0.56
Features: ['Perf'], Test Accuracy: 0.66
Features: ['EstHap'], Test Accuracy: 0.5
Features: ['NormPay'], Test Accuracy: 0.54
Features: ['HapDiff'], Test Accuracy: 0.5
Features: ['Pay*Pay'], Test Accuracy: 0.48
Features: ['Pay', 'Perf', 'NormPay', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'NormPay', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'NormPay', 'EstHap*EstHap'], Test Accuracy: 0.61
Features: ['Pay', 'Perf', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.64
Features: ['Pay', 'Perf', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.55
Features: ['Pay', 'Perf', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.63
Features: ['Pay', 'Perf', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'Perf', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.62
Features: ['Pay', 'Perf', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'Perf', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.52
Features: ['Pay', 'Perf', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.54
Features: ['Pay', 'Perf', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.54
Features: ['Pay', 'Perf', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'Perf', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'Perf', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.63
Features: ['Pay', 'Perf', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.54
Features: ['Pay', 'Perf', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'Perf', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'NormPay', 'HapDiff'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'NormPay', 'Pay*Pay'], Test Accuracy: 0.57
Features: ['Pay', 'EstHap', 'NormPay', 'Pay*Perf'], Test Accuracy: 0.6
Features: ['Pay', 'EstHap', 'NormPay', 'Pay*EstHap'], Test Accuracy: 0.65
Features: ['Pay', 'EstHap', 'NormPay', 'Perf*Perf'], Test Accuracy: 0.62
Features: ['Pay', 'EstHap', 'NormPay', 'Perf*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'EstHap', 'NormPay', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.63
Features: ['Pay', 'EstHap', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.55
Features: ['Pay', 'EstHap', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Pay', 'EstHap', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'EstHap', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'EstHap', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.63
Features: ['Pay', 'EstHap', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.56
Features: ['Pay', 'EstHap', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.61
Features: ['Pay', 'EstHap', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.61
Features: ['Pay', 'EstHap', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'EstHap', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.59
Features: ['Pay', 'EstHap', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'EstHap', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'HapDiff', 'Pay*Pay'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'HapDiff', 'Pay*Perf'], Test Accuracy: 0.6
Features: ['Pay', 'NormPay', 'HapDiff', 'Pay*EstHap'], Test Accuracy: 0.65
Features: ['Pay', 'NormPay', 'HapDiff', 'Perf*Perf'], Test Accuracy: 0.62
Features: ['Pay', 'NormPay', 'HapDiff', 'Perf*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'NormPay', 'HapDiff', 'EstHap*EstHap'], Test Accuracy: 0.58
Features: ['Pay', 'NormPay', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.63
Features: ['Pay', 'NormPay', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.6
Features: ['Pay', 'NormPay', 'Pay*Pay', 'Perf*Perf'], Test Accuracy: 0.66
Features: ['Pay', 'NormPay', 'Pay*Pay', 'Perf*EstHap'], Test Accuracy: 0.66
Features: ['Pay', 'NormPay', 'Pay*Pay', 'EstHap*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'Pay*Perf', 'Pay*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'Pay*Perf', 'Perf*Perf'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'Pay*Perf', 'Perf*EstHap'], Test Accuracy: 0.57
Features: ['Pay', 'NormPay', 'Pay*Perf', 'EstHap*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'NormPay', 'Pay*EstHap', 'Perf*Perf'], Test Accuracy: 0.55
Features: ['Pay', 'NormPay', 'Pay*EstHap', 'Perf*EstHap'], Test Accuracy: 0.55
Features: ['Pay', 'NormPay', 'Pay*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.64
Features: ['Pay', 'NormPay', 'Perf*Perf', 'Perf*EstHap'], Test Accuracy: 0.52
Features: ['Pay', 'NormPay', 'Perf*Perf', 'EstHap*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'NormPay', 'Perf*EstHap', 'EstHap*EstHap'], Test Accuracy: 0.62
Features: ['Pay', 'HapDiff', 'Pay*Pay', 'Pay*Perf'], Test Accuracy: 0.58
Features: ['Pay', 'HapDiff', 'Pay*Pay', 'Pay*EstHap'], Test Accuracy: 0.59
